"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
86,100;59,32
86,150;59,42
86,200;59,64
86,250;59,71
86,300;59,64
86,350;59,58
86,400;59,58
86,450;59,61
86,500;59,64
86,550;59,64
86,600;59,64
86,650;59,64
86,700;59,52
86,750;59,68
86,800;59,55
86,850;59,55
86,900;59,64
86,950;59,58
87,000;59,52
87,050;59,58
87,100;59,61
87,150;59,52
87,200;59,55
87,250;59,52
87,300;59,55
87,350;59,52
87,400;59,58
87,450;59,55
87,500;59,52
87,550;59,61
87,600;59,45
87,650;59,29
87,700;59,23
87,750;59,23
87,800;59,20
87,850;59,20
87,900;59,23
87,950;59,29
88,000;59,39
88,050;59,55
88,100;59,58
88,150;59,55
88,200;59,52
88,250;59,52
88,300;59,48
88,350;59,45
88,400;59,77
88,450;59,58
88,500;59,39
88,550;59,45
88,600;59,48
88,650;59,39
88,700;59,45
88,750;59,55
88,800;59,48
88,850;59,45
88,900;59,52
88,950;59,58
89,000;59,55
89,050;59,55
89,100;59,61
89,150;59,55
89,200;59,61
89,250;59,61
89,300;59,61
89,350;59,64
89,400;59,55
89,450;59,68
89,500;59,61
89,550;59,64
89,600;59,61
89,650;59,61
89,700;59,61
89,750;59,61
89,800;59,58
89,850;59,52
89,900;59,58
89,950;59,58
90,000;59,45
90,050;59,90
90,100;59,64
90,150;59,74
90,200;59,74
90,250;59,80
90,300;59,74
90,350;59,77
90,400;59,84
90,450;59,96
90,500;60,32
90,550;60,64
90,600;61,12
90,650;61,86
90,700;62,27
90,750;62,72
90,800;63,11
90,850;63,49
90,900;63,78
90,950;64,20
91,000;64,42
91,050;64,71
91,100;65,03
91,150;65,16
91,200;65,38
91,250;65,48
91,300;65,61
91,350;65,93
91,400;65,96
91,450;65,96
91,500;66,25
91,550;66,12
91,600;66,06
91,650;65,99
91,700;65,96
91,750;66,03
91,800;66,06
91,850;66,19
91,900;66,22
91,950;66,22
92,000;66,22
92,050;66,22
92,100;66,15
92,150;66,15
92,200;66,12
92,250;66,09
92,300;66,09
92,350;66,12
92,400;66,15
92,450;66,19
92,500;66,22
92,550;66,25
92,600;66,25
92,650;66,22
92,700;66,22
92,750;66,19
92,800;66,25
92,850;66,22
92,900;66,25
92,950;66,15
93,000;66,15
93,050;66,09
93,100;66,06
93,150;66,03
93,200;65,99
93,250;65,99
93,300;65,99
93,350;66,03
93,400;66,03
93,450;66,03
93,500;66,06
93,550;66,09
93,600;66,06
93,650;66,03
93,700;66,06
93,750;66,03
93,800;66,06
93,850;66,06
93,900;66,06
93,950;66,09
94,000;66,09
94,050;66,06
94,100;66,06
94,150;66,03
94,200;66,03
94,250;66,06
94,300;65,99
94,350;66,06
94,400;66,06
94,450;66,19
94,500;66,28
94,550;66,28
94,600;66,25
94,650;66,22
94,700;66,19
94,750;66,15
94,800;66,15
94,850;66,19
94,900;66,19
94,950;66,19
95,000;66,19
95,050;66,22
95,100;66,22
95,150;66,22
95,200;66,25
95,250;66,22
95,300;66,22
95,350;66,19
95,400;66,19
95,450;66,12
95,500;66,15
95,550;66,09
95,600;66,12
95,650;66,15
95,700;66,09
95,750;66,09
95,800;66,12
95,850;66,09
95,900;66,06
95,950;66,03
96,000;66,03
96,050;66,03
96,100;66,03
96,150;66,06
96,200;66,09
96,250;66,06
96,300;66,09
96,350;66,03
96,400;66,03
96,450;66,09
96,500;66,06
96,550;66,06
96,600;66,09
96,650;66,06
96,700;66,09
96,750;66,09
96,800;66,06
96,850;66,09
96,900;66,12
96,950;66,12
97,000;66,19
97,050;66,19
97,100;66,12
97,150;66,12
97,200;66,15
97,250;66,15
97,300;66,15
97,350;66,19
97,400;66,15
97,450;66,19
97,500;66,19
97,550;66,15
97,600;66,12
97,650;66,12
97,700;66,15
97,750;66,19
97,800;66,12
97,850;66,12
97,900;66,19
97,950;66,09
98,000;66,09
98,050;66,09
98,100;66,09
98,150;66,15
98,200;66,12
98,250;66,12
98,300;66,09
98,350;66,12
98,400;66,06
98,450;66,06
98,500;66,03
98,550;65,99
98,600;65,96
98,650;65,93
98,700;65,96
98,750;65,93
98,800;65,93
98,850;65,96
98,900;65,96
98,950;66,03
99,000;66,03
99,050;66,06
99,100;66,03
99,150;66,03
99,200;65,99
99,250;65,96
99,300;65,96
99,350;65,93
99,400;65,93
99,450;65,90
99,500;65,99
99,550;65,99
99,600;66,03
99,650;66,06
99,700;66,06
99,750;66,06
99,800;66,09
99,850;66,09
99,900;66,06
99,950;66,06
100,000;66,09
100,050;66,09
100,100;66,12
100,150;66,15
100,200;66,15
100,250;66,09
100,300;66,06
100,350;66,12
100,400;66,12
100,450;66,06
100,500;66,12
100,550;66,15
100,600;66,09
100,650;66,09
100,700;66,12
100,750;66,09
100,800;66,09
100,850;66,06
100,900;66,06
100,950;66,03
101,000;66,03
101,050;65,93
101,100;65,74
101,150;65,42
101,200;64,94
101,250;64,20
101,300;62,98
101,350;61,12
101,400;58,62
101,450;54,83
101,500;51,95
101,550;48,71
