"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
19,750;13,88
19,800;13,98
19,850;14,08
19,900;14,11
19,950;14,11
20,000;14,11
20,050;14,21
20,100;14,21
20,150;14,17
20,200;14,24
20,250;14,17
20,300;14,05
20,350;14,01
20,400;13,98
20,450;14,05
20,500;14,05
20,550;13,98
20,600;13,88
20,650;13,82
20,700;13,72
20,750;13,76
20,800;14,01
20,850;14,05
20,900;14,05
20,950;14,08
21,000;14,08
21,050;13,95
21,100;13,85
21,150;13,82
21,200;13,82
21,250;13,76
21,300;13,72
21,350;13,66
21,400;13,66
21,450;13,72
21,500;13,76
21,550;13,79
21,600;13,92
21,650;13,92
21,700;13,95
21,750;14,01
21,800;14,08
21,850;14,21
21,900;14,30
21,950;14,46
22,000;14,65
22,050;14,78
22,100;15,01
22,150;15,30
22,200;15,62
22,250;16,00
22,300;16,35
22,350;16,64
22,400;16,96
22,450;17,22
22,500;17,44
22,550;17,64
22,600;17,89
22,650;18,09
22,700;18,31
22,750;18,63
22,800;18,86
22,850;19,21
22,900;19,50
22,950;19,59
23,000;19,79
23,050;19,95
23,100;19,98
23,150;20,04
23,200;20,27
23,250;20,23
23,300;20,14
23,350;20,01
23,400;19,98
23,450;19,95
23,500;19,91
23,550;19,85
23,600;19,91
23,650;20,04
23,700;19,98
23,750;19,91
23,800;19,98
23,850;20,01
23,900;19,98
23,950;19,98
24,000;20,04
24,050;20,11
24,100;20,30
24,150;20,49
24,200;20,43
24,250;20,30
24,300;20,07
24,350;19,98
24,400;19,88
24,450;20,01
24,500;20,11
24,550;20,14
24,600;20,11
24,650;20,11
24,700;20,07
24,750;20,04
24,800;20,01
24,850;20,04
24,900;20,01
24,950;20,04
25,000;19,95
25,050;20,01
25,100;20,14
25,150;20,27
25,200;20,30
25,250;20,36
25,300;20,39
25,350;20,39
25,400;20,30
25,450;20,27
25,500;20,20
25,550;20,20
25,600;20,23
25,650;20,27
25,700;20,30
25,750;20,30
25,800;20,17
25,850;20,11
25,900;20,11
25,950;20,11
26,000;20,11
26,050;20,20
26,100;20,30
26,150;20,36
26,200;20,49
26,250;20,62
26,300;20,84
26,350;20,81
26,400;20,65
26,450;20,59
26,500;20,55
26,550;20,52
26,600;20,52
26,650;20,72
26,700;20,72
26,750;20,62
26,800;20,49
26,850;20,46
26,900;20,33
26,950;20,23
27,000;20,23
27,050;20,33
27,100;20,43
27,150;20,49
27,200;20,49
27,250;20,55
27,300;20,49
27,350;20,33
27,400;20,33
27,450;20,27
27,500;20,17
27,550;20,11
27,600;20,17
27,650;20,20
27,700;20,20
27,750;20,23
27,800;20,17
27,850;20,30
27,900;20,17
27,950;20,27
28,000;20,17
28,050;20,23
28,100;20,27
28,150;20,11
28,200;20,20
28,250;20,23
28,300;20,11
28,350;20,14
28,400;20,20
28,450;20,27
28,500;20,27
28,550;20,27
28,600;20,27
28,650;20,33
28,700;20,27
28,750;20,39
28,800;20,36
28,850;20,39
28,900;20,39
28,950;20,46
29,000;20,49
29,050;20,49
29,100;20,43
29,150;20,36
29,200;20,49
29,250;20,55
29,300;20,59
29,350;20,55
29,400;20,46
29,450;20,36
29,500;20,30
29,550;20,27
29,600;20,27
29,650;20,36
29,700;20,46
29,750;20,49
29,800;20,46
29,850;20,49
29,900;20,52
29,950;20,46
30,000;20,30
30,050;20,30
30,100;20,27
30,150;20,30
30,200;20,33
30,250;20,46
30,300;20,49
30,350;20,55
30,400;20,55
30,450;20,52
30,500;20,46
30,550;20,49
30,600;20,49
30,650;20,49
30,700;20,49
30,750;20,55
30,800;20,55
30,850;20,59
30,900;20,62
30,950;20,81
31,000;20,88
31,050;21,13
31,100;21,26
31,150;21,36
31,200;21,42
31,250;21,58
31,300;21,74
31,350;21,93
31,400;22,16
31,450;22,51
31,500;22,83
31,550;23,31
31,600;23,70
31,650;23,92
31,700;24,24
31,750;24,43
31,800;24,69
31,850;25,01
31,900;25,40
31,950;25,91
32,000;26,33
32,050;26,68
32,100;26,97
32,150;27,00
32,200;27,03
32,250;27,13
32,300;27,16
32,350;27,29
32,400;27,16
32,450;27,03
32,500;26,90
32,550;26,74
32,600;26,68
32,650;26,65
32,700;26,62
