Tiempo (s) Serie Nº 1,Ángulo (rad),N2,N3,N4,N5,V. Vel. Angular (rad/s),N2,N3,N4,N5,Ac. angular (rad/s²),N2,N3,N4,N5,Pos. (m),N2,N3,N4,N5,V. Vel (m/s),N2,N3,N4,N5,Ac. (m/s²),N2,N3,N4,N5,Fuerza (N),N2,N3,N44,N5
0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.51,4.41,3.84,4.35
0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.53,4.44,3.69,4.37
0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.52,4.43,3.53,4.3
0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.55,4.42,3.23,4.28
0.35,-0.017,0,-0.035,-0.07,-0.052,0.116,0,-0.175,-2.967,-0.698,0.194,0.776,-0.582,-67.874,-30.252,-4.36E-04,0,-8.72E-04,-0.0017,-0.0013,0.003,-0.004,0,-0.074,-0.017,0.005,0.019,-0.015,-1.696,-0.756,4.48,4.57,4.47,2.94,4.24
0.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.57,4.47,2.68,4.14
0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.56,4.48,2.46,4.01
0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.53,4.49,2.19,3.88
0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.49,4.52,1.97,3.55
0.4,-0.017,0,-0.035,-0.244,-0.087,0.058,0.058,-0.233,-7.33,-2.502,-0.582,0.97,0.388,-108.986,-67.874,-4.36E-04,0,-8.72E-04,-0.0061,-0.0022,0.001,-0.006,0.001,-0.183,-0.063,-0.015,0.024,0.01,-2.723,-1.696,4.49,4.52,4.57,1.86,3.21
0.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.5,4.52,1.61,2.84
0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.45,4.5,4.59,1.64,2.4
0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.48,4.6,1.54,2.01
0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.47,4.59,1.66,1.59
0.45,-0.017,0,-0.052,-0.698,-0.209,0,0.116,-0.175,-14.195,-6.923,-0.582,0.776,2.327,-141.953,-115.386,-4.36E-04,0,-0.0013,-0.0174,-0.0052,0,-0.004,0.003,-0.355,-0.173,-0.015,0.019,0.058,-3.547,-2.883,4.49,4.48,4.58,1.81,1.29
0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.46,4.6,1.92,1.09
0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.51,4.61,2.26,0.97
0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.46,4.61,2.41,0.97
0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.49,4.58,2.61,1.01
